,features
114,"{
  ""features"": [
    {
      ""categoria"": ""Hoodie"",
      ""material"": ""French Terry Fleece"",
      ""Público-alvo"": ""Mulheres (Plus Size)"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Amazon Essentials""
    }
  ]
}"
115,"{
  ""features"": [
    {
      ""categoria"": ""Outdoor Decorative"",
      ""material"": ""Polyester, PE"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Green"",
      ""marca"": ""Ogrmar""
    }
  ]
}"
116,"{
  ""features"": [
    {
      ""categoria"": ""Pool Raft"",
      ""material"": ""Inflatable"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Tiger"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
117,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
118,"{
  ""features"": [
    {
      ""categoria"": ""Portable Baby Play Yard"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Midnight"",
      ""marca"": ""Delta Children""
    }
  ]
}"
119,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Prismacolor""
    }
  ]
}"
120,"{
  ""features"": [
    {
      ""categoria"": ""Rain Shower Head"",
      ""material"": ""304 Stainless Steel"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Chrome Polish"",
      ""marca"": ""AWARA""
    }
  ]
}"
121,"{
  ""features"": [
    {
      ""categoria"": ""Acessório"",
      ""material"": ""Prata esterlina .925"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Prata"",
      ""marca"": ""NYC Sterling""
    }
  ]
}"
122,"{
  ""features"": [
    {
      ""categoria"": ""Wireless Backup Camera Kit System"",
      ""material"": ""Not found"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Not found"",
      ""marca"": ""Yakry""
    }
  ]
}"
123,"{
  ""features"": [
    {
      ""categoria"": ""Basketball Shoe"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""adulto"",
      ""cor"": ""Black/White"",
      ""marca"": ""Converse""
    }
  ]
}"
124,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""#1 Suspect""
    }
  ]
}"
125,"{
  ""features"": [
    {
      ""categoria"": ""Furniture Pads"",
      ""material"": ""Thick Felt & Soft Rubber"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Beige"",
      ""marca"": ""X-PROTECTOR""
    }
  ]
}"
126,"{
  ""features"": [
    {
      ""categoria"": ""Automotivo"",
      ""material"": ""High quality fabric"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Youngerbaby""
    }
  ]
}"
127,"{
  ""features"": [
    {
      ""categoria"": ""Outdoor Canopy"",
      ""material"": ""Steel frame, Ripstop fabric"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Neutral tan"",
      ""marca"": ""ShelterLogic""
    }
  ]
}"
128,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
129,"{
  ""features"": [
    {
      ""categoria"": ""Compact All-refrigerator"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""White"",
      ""marca"": ""Summit Appliance""
    }
  ]
}"
130,"{
  ""features"": [
    {
      ""categoria"": ""Personalized Beach Towels"",
      ""material"": ""Silky and Absorbent Cotton"",
      ""Público-alvo"": ""Unissex"",
      ""cor"": ""Vibrant colors"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
131,"{
  ""features"": [
    {
      ""categoria"": ""calçado"",
      ""material"": ""não encontrado"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""preto, rosa hiper e branco"",
      ""marca"": ""Nike""
    }
  ]
}"
132,"{
  ""features"": [
    {
      ""categoria"": ""Tênis de Tênis"",
      ""material"": ""Mesh upper, Synthetic overlays, EVA midsole"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Papaya/White"",
      ""marca"": ""ASICS""
    }
  ]
}"
133,"{
  ""features"": [
    {
      ""categoria"": ""Outdoor"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Todas as idades"",
      ""cor"": ""Multicolorido"",
      ""marca"": ""Mystical Fire Dragon Flames""
    }
  ]
}"
134,"{
  ""features"": [
    {
      ""categoria"": ""wall mirror"",
      ""material"": ""rubber"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""black"",
      ""marca"": ""Umbra""
    }
  ]
}"
135,"{
  ""features"": [
    {
      ""categoria"": ""Sinalização"",
      ""material"": ""Metal"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Muroanmi""
    }
  ]
}"
136,"{
  ""features"": [
    {
      ""categoria"": ""Hair Brush, Hair Comb and Soft Silicone Scalp Massage Shampoo Brush Set"",
      ""material"": ""Silicone"",
      ""Público-alvo"": ""Women Men Kids Girls"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
137,"{
  ""features"": [
    {
      ""categoria"": ""Area Rug"",
      ""material"": ""Synthetic fibers"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Navy"",
      ""marca"": ""SAFAVIEH""
    }
  ]
}"
138,"{
  ""features"": [
    {
      ""categoria"": ""Adaptador de energia"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""Omnihil""
    }
  ]
}"
139,"{
  ""features"": [
    {
      ""categoria"": ""Artesanato"",
      ""material"": ""Acrílico"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Transparente"",
      ""marca"": ""Plaid""
    }
  ]
}"
140,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
141,"{
  ""features"": [
    {
      ""categoria"": ""Women's Halloween Costume"",
      ""material"": ""Gauze, Faux Leather"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Varia de acordo com o modelo"",
      ""marca"": ""Leg Avenue""
    }
  ]
}"
142,"{
  ""features"": [
    {
      ""categoria"": ""Chá"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Salada""
    }
  ]
}"
143,"{
  ""features"": [
    {
      ""categoria"": ""Cushioned Running Shoes"",
      ""material"": ""Engineered mesh upper with 3D Fit Print"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Brooks""
    }
  ]
}"
144,"{
  ""features"": [
    {
      ""categoria"": ""Airsoft Gun"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""BBTac""
    }
  ]
}"
145,"{
  ""features"": [
    {
      ""categoria"": ""Apple Watch Band with Bumper Case"",
      ""material"": ""Stainless Steel, PC"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""HATALKIN""
    }
  ]
}"
146,"{
  ""features"": [
    {
      ""categoria"": ""Yard Flag"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Branco (WHT)"",
      ""marca"": ""Doreen's Boutique""
    }
  ]
}"
147,"{
  ""features"": [
    {
      ""categoria"": ""Concealer Pencil"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""03#WHEAT"",
      ""marca"": ""KISSIO""
    }
  ]
}"
148,"{
  ""features"": [
    {
      ""categoria"": ""Jewelry"",
      ""material"": ""Rhinestone"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Rose Gold"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
149,"{
  ""features"": [
    {
      ""categoria"": ""Corset"",
      ""material"": ""Leatherette"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Diversas cores"",
      ""marca"": ""Charmian""
    }
  ]
}"
150,"{
  ""features"": [
    {
      ""categoria"": ""Sapphire Necklace"",
      ""material"": ""Gold Filled"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Dark Navy Blue"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
151,"{
  ""features"": [
    {
      ""categoria"": ""Emergency First Aid Supplies"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Blue"",
      ""marca"": ""DLY""
    }
  ]
}"
152,"{
  ""features"": [
    {
      ""categoria"": ""Jersey"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Youth 8-20"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Outerstuff""
    }
  ]
}"
153,"{
  ""features"": [
    {
      ""categoria"": ""Mittens"",
      ""material"": ""Cotton"",
      ""Público-alvo"": ""Newborn"",
      ""cor"": ""White"",
      ""marca"": ""Nurses Choice""
    }
  ]
}"
154,"{
  ""features"": [
    {
      ""categoria"": ""Portable Water Filter"",
      ""material"": ""Carbon Fiber, UF Filter, PP Screen"",
      ""Público-alvo"": ""Outdoor enthusiasts, Emergency preparedness individuals"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Miniwell""
    }
  ]
}"
155,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""RIKON""
    }
  ]
}"
156,"{
  ""features"": [
    {
      ""categoria"": ""Cooling Fan"",
      ""material"": ""Not specified"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Noctua""
    }
  ]
}"
157,"{
  ""features"": [
    {
      ""categoria"": ""Água engarrafada"",
      ""material"": ""Alumínio"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Ever and Ever""
    }
  ]
}"
158,"{
  ""features"": [
    {
      ""categoria"": ""Star Night Light Projector"",
      ""material"": ""ABS Material"",
      ""Público-alvo"": ""Children Kids Baby Adults"",
      ""cor"": ""Grey"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
159,"{
  ""features"": [
    {
      ""categoria"": ""Acessórios para barbear"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Philips Norelco""
    }
  ]
}"
160,"{
  ""features"": [
    {
      ""categoria"": ""Alimentos e Bebidas"",
      ""material"": ""Goat Milk Cream"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""MT. CAPRA""
    }
  ]
}"
161,"{
  ""features"": [
    {
      ""categoria"": ""Computador"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Shadow Black/Acid Green"",
      ""marca"": ""HP""
    }
  ]
}"
162,"{
  ""features"": [
    {
      ""categoria"": ""Portable Air Conditioner"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""Midea""
    }
  ]
}"
163,"{
  ""features"": [
    {
      ""categoria"": ""Tennis Skirt, Golf Skort, Athletic Skirt"",
      ""material"": ""75% Nylon, 25% Spandex"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""BALEAF""
    }
  ]
}"
164,"{
  ""features"": [
    {
      ""categoria"": ""calçado"",
      ""material"": ""mix de texturas e materiais"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""STACY ADAMS""
    }
  ]
}"
165,"{
  ""features"": [
    {
      ""categoria"": ""Red Dot Sight"",
      ""material"": ""6061 Aluminum"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Matte black"",
      ""marca"": ""AT3 Tactical""
    }
  ]
}"
166,"{
  ""features"": [
    {
      ""categoria"": ""Midi Skirt"",
      ""material"": ""Polyester and Spandex blend"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Simlu""
    }
  ]
}"
167,"{
  ""features"": [
    {
      ""categoria"": ""Portable Food Warmer Heater"",
      ""material"": ""Food Grade Stainless Steel + PP"",
      ""Público-alvo"": ""Car / Truck / Construction / Office"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""YISSVIC""
    }
  ]
}"
168,"{
  ""features"": [
    {
      ""categoria"": ""Sketch Kit"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Fashion Angels""
    }
  ]
}"
169,"{
  ""features"": [
    {
      ""categoria"": ""Ankle Air Cam Walker Fracture Boot"",
      ""material"": ""Plastic molded uprights with steel reinforcement"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""United Ortho""
    }
  ]
}"
170,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""manufacturer""
    }
  ]
}"
171,"{
  ""features"": [
    {
      ""categoria"": ""wallet"",
      ""material"": ""full-grain nappa leather"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Tumi""
    }
  ]
}"
172,"{
  ""features"": [
    {
      ""categoria"": ""Decoração de Halloween"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Y- STOP""
    }
  ]
}"
173,"{
  ""features"": [
    {
      ""categoria"": ""vestuário"",
      ""material"": ""fleece"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""Vintage White/TNF Medium Grey Heather"",
      ""marca"": ""THE NORTH FACE""
    }
  ]
}"
174,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""925 sterling silver"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
175,"{
  ""features"": [
    {
      ""categoria"": ""Outdoor American Flags"",
      ""material"": ""Nylon"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Red, Blue, White"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
176,"{
  ""features"": [
    {
      ""categoria"": ""Lens"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""Canon""
    }
  ]
}"
177,"{
  ""features"": [
    {
      ""categoria"": ""Watercolor Brush Pens"",
      ""material"": ""Nylon"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""20 cores clássicas"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
178,"{
  ""features"": [
    {
      ""categoria"": ""Antenna"",
      ""material"": ""Rubber Duck Dipole"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Herdio""
    }
  ]
}"
179,"{
  ""features"": [
    {
      ""categoria"": ""Grip Extension"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Pearce""
    }
  ]
}"
180,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
181,"{
  ""features"": [
    {
      ""categoria"": ""Spiral Notebook"",
      ""material"": ""100gsm Ivory White Acid-Free Paper"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Ivory White"",
      ""marca"": ""HULYTRAAT""
    }
  ]
}"
182,"{
  ""features"": [
    {
      ""categoria"": ""Suplemento natural"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""ORGANOPLEX""
    }
  ]
}"
183,"{
  ""features"": [
    {
      ""categoria"": ""DVD"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Outlander""
    }
  ]
}"
184,"{
  ""features"": [
    {
      ""categoria"": ""Posture Corrector"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
185,"{
  ""features"": [
    {
      ""categoria"": ""Acessórios para estetoscópio"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Preto e carton"",
      ""marca"": ""3M Littmann""
    }
  ]
}"
186,"{
  ""features"": [
    {
      ""categoria"": ""Acessórios para Apple Watch"",
      ""material"": ""Aço inoxidável"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Rosegold"",
      ""marca"": ""Goton""
    }
  ]
}"
187,"{
  ""features"": [
    {
      ""categoria"": ""Fishing Net"",
      ""material"": ""Polyester Fiber, Steel, Aluminum Alloy, Rubber"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Drowin""
    }
  ]
}"
